#Período
#Dia da semana
#Notícias Produzidas

20	1	267
22	1	256
0	2	113
2	2	60
4	2	51
6	2	56
8	2	85
10	2	201
12	2	278
14	2	238
16	2	245
18	2	240
20	2	175
22	2	99
0	3	52
2	3	40
4	3	40
6	3	32
8	3	88
10	3	162
12	3	247
14	3	216
16	3	226
18	3	216
20	3	190
22	3	134
0	4	86
2	4	54
4	4	44
6	4	67
8	4	176
10	4	343
12	4	380
14	4	358
16	4	381
18	4	377
20	4	387
22	4	255
0	5	141
2	5	100
4	5	70
6	5	100
8	5	163
10	5	337
12	5	369
14	5	356
16	5	381
18	5	394
20	5	380
22	5	268
0	6	147
2	6	78
4	6	60
6	6	76
8	6	165
10	6	348
12	6	481
14	6	317
16	6	366
18	6	374
20	6	446
22	6	274
0	6	159
2	7	109
4	7	37
6	7	118
8	7	200
10	7	386
12	7	416
14	7	393
16	7	403
18	7	376
20	7	376
22	7	237
0	7	131
2	8	69
4	8	76
6	8	70
8	8	199
10	8	358
12	8	378
14	8	354
16	8	328
18	8	175
20	8	239
22	8	223
0	9	90
2	9	35
4	9	38
6	9	64
8	9	64
10	9	185
12	9	215
14	9	206
16	9	194
18	9	231
20	9	199
22	9	156
0	10	49
2	10	35
4	10	34
6	10	56
8	10	64
10	10	134
12	10	204
14	10	185
16	10	244
18	10	223
20	10	203
22	10	145
0	11	58
2	11	42
4	11	35
6	11	65
8	11	160
10	11	271
12	11	219
14	11	377
16	11	386
18	11	388
20	11	297
22	11	186
0	12	103
2	12	60
4	12	59
6	12	106
8	12	256
10	12	342
12	12	358
14	12	364
16	12	324
18	12	354
20	12	299
22	12	229
0	13	112
2	13	66
4	13	75
6	13	77
8	13	102
10	13	274
12	13	271
14	13	317
16	13	379
18	13	353
20	13	353
22	13	267
0	14	118
2	14	106
4	14	70
6	14	85
8	14	237
22	18	179
0	19	92
2	19	61
4	19	58
6	19	72
8	19	125
10	19	227
12	19	267
14	19	272
16	19	260
18	19	267
20	19	282
22	19	182
0	20	84
2	20	32
4	20	74
6	20	79
8	20	116
10	20	231
12	20	251
14	20	252
16	20	242
18	20	259
20	20	254
22	20	171
0	21	109
2	21	83
4	21	66
6	21	60
8	21	125
10	21	250
12	21	281
14	21	262
16	21	256
18	21	242
20	21	244
22	21	163
0	22	99
2	22	55
4	22	62
6	22	69
8	22	112
10	22	257
